id,stop_letter,name,lat,lon,lines,modes,parent_id,top_most_parent_id,station_id
490011760D,D,Royal Free Hospital,51.553947,-0.165511,"['1', '46', 'c11']",['bus'],490G000732,490G000732,490G000732
490011714E,E,Rosslyn Hill,51.553441,-0.168286,"['1', '46', 'c11']",['bus'],490G00011714,490G00011714,490G00011714
490015255F,F,Haverstock Hill / Pond Street,51.552266,-0.167295,"['1', '268', 'c11', 'n5']",['bus'],490G00015255,490G00015255,490G00015255
490000020L,L,Belsize Park Station,51.550749,-0.165192,"['1', 'c11', 'n5']",['bus'],490G00020L,940GZZLUBZP,490G00020L
490006180S,M,Downside Crescent,51.550027,-0.163866,"['1', 'c11', 'n5']",['bus'],490G00006180,490G00006180,490G00006180
490013939S,N,Upper Park Road,51.548753,-0.161725,"['1', 'c11', 'n5']",['bus'],490G00013939,490G00013939,490G00013939
490012664S,P,Haverstock Hill / Steele's Village,51.546443,-0.157203,"['1', 'n5']",['bus'],490G00012668,490G00012668,490G00012668
490000043CD,CD,Chalk Farm Station,51.544644,-0.153742,"['1', '393', 'n5']",['bus'],490G00043CD,940GZZLUCFM,490G00043CD
490004963CE,CE,Chalk Farm Road / Morrisons,51.543115,-0.149737,"['1', '27', '31', '393', 'n27', 'n28', 'n31', 'n5']",['bus'],490G00004964,490G00004964,490G00004964
490007927M,M,Hawley Road,51.542882,-0.143545,"['1', '24', '27', '31', 'n27', 'n28', 'n31', 'n5']",['bus'],490G00007927,490G00007927,490G00007927
490004713D,D,Camden Gardens,51.54197,-0.14103,"['1', '134', '214', '24', '27', '31', '46', '88', 'n20', 'n27', 'n28', 'n31', 'n5']",['bus'],490G00004713,490G00004713,490G00004713
490000036R,R,Camden Town Station / Camden Street,51.540003,-0.140634,"['1', '214', '253', '274', '88']",['bus'],490G00019167,490G00019167,490G00019167
490015531T,T,Camden Town Station  / Bayham Street,51.538668,-0.140919,"['1', '214', '253', '274', '88']",['bus'],490G00002330,490G00002330,490G00002330
490011168S1,W,Pratt Street,51.536961,-0.13933,"['1', '214', '253', 'n20', 'n253', 'n5']",['bus'],490G00011168,490G00011168,490G00011168
490000152G,G,Mornington Cres Stn / Camden Tn Library,51.534136,-0.138105,"['1', '253', 'n20', 'n253', 'n5']",['bus'],490G00152G,940GZZLUMTC,490G00152G
490003174S,S,Aldenham Street,51.531995,-0.135755,"['1', '253', 'n20', 'n253', 'n5']",['bus'],490G00003174,490G00003174,490G00003174
490000077B,B,Euston Station,51.52861,-0.132131,"['1', '253', 'n20', 'n253', 'n5']",['bus'],490G00077B,HUBEUS,490G00077B
490012867M,M,Upper Woburn Place,51.526815,-0.130114,"['1', '68', '91', 'n91']",['bus'],490G00012867,HUBEUS,490G00012867
490013170S,N,Tavistock Square,51.524903,-0.128059,"['1', '68', '91', 'n91']",['bus'],490G00013170,490G00013170,490G00013170
490000200J,J,Russell Square,51.523355,-0.126277,"['1', '68', '91', 'n91']",['bus'],490G00200H,940GZZLURSQ,490G00200H
490005624S,B,Southampton Row,51.521053,-0.123489,"['1', '68', '91', 'n91', 'sl6']",['bus'],490G00005624,490G00005624,490G00005624
490013477A,X,Southampton Row / Theobald's Road,51.518507,-0.120624,"['1', '68', '91', 'n91', 'sl6']",['bus'],490G00013478,490G00013478,490G00013478
490000112M,M,Kingsway / Holborn Station,51.51674,-0.11976,"['1', '188', '243', '59', '68', '91', 'n1', 'n171', 'n68', 'n91', 'sl6']",['bus'],490G00000350,490G00000350,490G00000350
490019703Z,S,Aldwych / Drury Lane,51.512264,-0.118806,"['1', '172', '188', '243', '341', '59', '68', 'n1', 'n171', 'n68', 'sl6']",['bus'],490G00019703,490G00019703,490G00019703
490014271N,N,Waterloo Bridge / South Bank,51.5065,-0.114922,"['1', '139', '172', '176', '188', '243', '341', '59', '68', 'n1', 'n171', 'n343', 'n68', 'sl6']",['bus'],490G000819,490G000819,490G000819
490000254E,E,Waterloo Station   / Waterloo Road,51.503512,-0.111414,"['1', '139', '188', '341', 'c10', 'n1']",['bus'],490G000401,HUBWAT,490G000401
490013485S1,S,The Old Vic,51.501338,-0.108752,"['1', '172', '176', '188', '68', 'c10', 'n1', 'n171', 'n68']",['bus'],490G00013485,490G00013485,490G00013485
490012693S2,T,St George's Circus,51.499158,-0.106278,"['1', '172', '176', '188', '68', 'c10', 'n1', 'n171', 'n68']",['bus'],490G00012693,490G00012693,490G00012693
490009281E,E,Elephant & Castle / London Road,51.496102,-0.101333,"['1', '172', '188', '363', '453', '53', '63', 'n1', 'n53', 'n63']",['bus'],490G000642,490G000642,490G000642
490000073K,K,Elephant & Castle / New Kent Road,51.495076,-0.099071,"['1', '188', 'n1']",['bus'],490G000645,HUBEPH,490G000645
490011632BA,BA,Rodney Place,51.494218,-0.094439,"['1', '172', '188', '363', '415', '453', '53', '63', 'n1', 'n53', 'n63']",['bus'],490G00011632,490G00011632,490G00011632
490003658BC,BC,Bricklayer's Arms / New Kent Road,51.494414,-0.087689,"['1', '188', 'n1']",['bus'],490G00003658,490G00003658,490G00003658
490004315BH,BH,Bricklayer's Arms / Tower Bridge Road,51.495631,-0.08346,"['1', '188', '42', 'n1']",['bus'],490G00019012,490G00019012,490G00019012
490007533E,N,Grigg's Place,51.496431,-0.080675,"['1', '78', 'n1']",['bus'],490G00007533,490G00007533,490G00007533
490006792E,P,Fendall Street,51.495681,-0.078243,"['1', '78', 'n1']",['bus'],490G00006792,490G00006792,490G00006792
490012367E,Q,Spa Road,51.49482,-0.07619,"['1', '78', 'n1']",['bus'],490G00012367,490G00012367,490G00012367
490003275E,R,Alscot Road,51.493684,-0.074365,"['1', '78', 'n1']",['bus'],490G00003275,490G00003275,490G00003275
490003533E,,Harris Academy,51.492803,-0.071118,"['1', 'n1']",['bus'],490G00003533,490G00003533,490G00003533
490012353E,PA,Southwark Park Road / St James's Road,51.492371,-0.065662,"['1', 'n1']",['bus'],490G00012353,490G00012353,490G00012353
490003311E,PB,Anchor Street,51.492166,-0.061392,"['1', '381', 'n1', 'n381', 'p12']",['bus'],490G00003311,490G00003311,490G00003311
490009482S,GS,Lynton Road,51.490568,-0.059904,"['1', '381', 'n1', 'n381']",['bus'],490G00009482,490G00009482,490G00009482
490007086B,GT,Galleywall Road / South Bermondsey Stn,51.489044,-0.058038,"['1', '381', 'n1', 'n381']",['bus'],490G000529,490G000529,490G000529
490003716E,RL,Beamish House,51.48961,-0.056401,"['1', '381', 'n1', 'n381']",['bus'],490G000403,490G000403,490G000403
